prefetch x52                                      UserTime: 24.61 e/us  KernelTime: not measured e/us, sum: 0
prefetch x52 E                                    UserTime: 24.83 e/us  KernelTime: not measured e/us, sum: 0
prefetch x52 NTA                                  UserTime: 7.99 e/us  KernelTime: not measured e/us, sum: 0
prefetch x52 W                                    UserTime: 24.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x54                                      UserTime: 24.78 e/us  KernelTime: not measured e/us, sum: 0
prefetch x54 E                                    UserTime: 24.97 e/us  KernelTime: not measured e/us, sum: 0
prefetch x54 NTA                                  UserTime: 7.87 e/us  KernelTime: not measured e/us, sum: 0
prefetch x54 W                                    UserTime: 24.24 e/us  KernelTime: not measured e/us, sum: 0
prefetch x56                                      UserTime: 24.74 e/us  KernelTime: not measured e/us, sum: 0
prefetch x56 E                                    UserTime: 24.96 e/us  KernelTime: not measured e/us, sum: 0
prefetch x56 NTA                                  UserTime: 7.63 e/us  KernelTime: not measured e/us, sum: 0
prefetch x56 W                                    UserTime: 24.93 e/us  KernelTime: not measured e/us, sum: 0
prefetch x58                                      UserTime: 23.77 e/us  KernelTime: not measured e/us, sum: 0
prefetch x58 E                                    UserTime: 23.72 e/us  KernelTime: not measured e/us, sum: 0
prefetch x58 NTA                                  UserTime: 7.26 e/us  KernelTime: not measured e/us, sum: 0
prefetch x58 W                                    UserTime: 24.05 e/us  KernelTime: not measured e/us, sum: 0
prefetch x60                                      UserTime: 23.04 e/us  KernelTime: not measured e/us, sum: 0
prefetch x60 E                                    UserTime: 22.56 e/us  KernelTime: not measured e/us, sum: 0
prefetch x60 NTA                                  UserTime: 7.21 e/us  KernelTime: not measured e/us, sum: 0
prefetch x60 W                                    UserTime: 23.87 e/us  KernelTime: not measured e/us, sum: 0
prefetch x62                                      UserTime: 23.72 e/us  KernelTime: not measured e/us, sum: 0
prefetch x62 E                                    UserTime: 23.78 e/us  KernelTime: not measured e/us, sum: 0
prefetch x62 NTA                                  UserTime: 8.83 e/us  KernelTime: not measured e/us, sum: 0
prefetch x62 W                                    UserTime: 23.86 e/us  KernelTime: not measured e/us, sum: 0
